pct,chemical,chemical_code,total_items,total_tabs_caps
14Y,Metformin Hydrochloride,0601022B0,168956,18775033
11J,Ramipril,0205051R0,501241,18745916
12F,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,156896,18666865
03T,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,146925,18537312
01K,Paracetamol,0407010H0,134029,18506571
06H,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,159073,18460470
06N,Metformin Hydrochloride,0601022B0,197264,18410819
03R,Paracetamol,0407010H0,127467,18345995
06L,Paracetamol,0407010H0,116955,18275029
01A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,154201,18122470
03R,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,141220,18101302
15N,Simvastatin,0212000Y0,534532,18001147
09G,Paracetamol,0407010H0,135979,17975723
00K,Paracetamol,0407010H0,131816,17941592
13T,Atorvastatin,0212000B0,697177,17921417
06K,Metformin Hydrochloride,0601022B0,235666,17884225
15N,Bisoprolol Fumarate,0204000H0,558362,17745674
15C,Ramipril,0205051R0,488781,17743587
15M,Amitriptyline Hydrochloride,0403010B0,305234,17664220
11N,Metformin Hydrochloride,0601022B0,223287,17585930
15M,Simvastatin,0212000Y0,487923,17581509
11X,Metformin Hydrochloride,0601022B0,182087,17478404
04G,Atorvastatin,0212000B0,641349,17286443
15E,Simvastatin,0212000Y0,420597,17085636
11J,Levothyroxine Sodium,0602010V0,417067,16845259
11M,Metformin Hydrochloride,0601022B0,220081,16738782
04C,Paracetamol,0407010H0,130101,16683225
09G,Metformin Hydrochloride,0601022B0,170625,16610635
15N,Aspirin,0209000A0,511155,16551860
10Q,Omeprazole,0103050P0,447413,16539106
11M,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,147662,16475990
04K,Paracetamol,0407010H0,116866,16457496
05C,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,136593,16439824
02P,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,138294,16430050
04G,Omeprazole,0103050P0,482273,16428730
01H,Paracetamol,0407010H0,124311,16351164
13T,Metformin Hydrochloride,0601022B0,236329,16339122
05A,Metformin Hydrochloride,0601022B0,197582,16326804
15F,Ramipril,0205051R0,449308,16285159
05L,Atorvastatin,0212000B0,434016,16220853
05A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,142811,16220124
01A,Paracetamol,0407010H0,114336,16075328
15E,Aspirin,0209000A0,408495,16021112
07V,Metformin Hydrochloride,0601022B0,153314,15971521
00M,Paracetamol,0407010H0,119587,15959361
10Q,Atorvastatin,0212000B0,489509,15935361
13T,Codeine Phosphate,0407020C0,195598,15921900
04G,Ramipril,0205051R0,571522,15831450
15C,Amlodipine,0206020A0,431056,15735954
03F,Paracetamol,0407010H0,124952,15735224
15N,Gabapentin,0408010G0,148415,15626911
11M,Omeprazole,0103050P0,445310,15557573
99A,Metformin Hydrochloride,0601022B0,207318,15541666
03L,Paracetamol,0407010H0,112318,15525112
15D,Metformin Hydrochloride,0601022B0,153971,15498477
99C,Paracetamol,0407010H0,143023,15469973
09G,Omeprazole,0103050P0,368704,15460283
15N,Codeine Phosphate,0407020C0,195167,15452986
08N,Metformin Hydrochloride,0601022B0,138859,15451982
05W,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,130044,15411592
11A,Metformin Hydrochloride,0601022B0,148809,15352977
06H,Amlodipine,0206020A0,514363,15242789
04E,Paracetamol,0407010H0,109882,15167752
11A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,123902,15104322
15F,Levothyroxine Sodium,0602010V0,401899,15015522
06K,Atorvastatin,0212000B0,534113,14841044
07X,Metformin Hydrochloride,0601022B0,166568,14819078
11M,Levothyroxine Sodium,0602010V0,433479,14805967
99N,Omeprazole,0103050P0,375892,14783258
02P,Paracetamol,0407010H0,131016,14782268
09G,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,126336,14767904
14L,Omeprazole,0103050P0,406920,14765064
04V,Paracetamol,0407010H0,101703,14692863
01A,Metformin Hydrochloride,0601022B0,165836,14657332
11N,Levothyroxine Sodium,0602010V0,450399,14608659
04V,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,113484,14607335
11X,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,126769,14602360
14L,Atorvastatin,0212000B0,487425,14598966
06K,Paracetamol,0407010H0,118034,14545042
03N,Atorvastatin,0212000B0,535949,14538615
03Q,Paracetamol,0407010H0,108686,14533468
05Y,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,136505,14522101
06N,Atorvastatin,0212000B0,400666,14498725
99N,Metformin Hydrochloride,0601022B0,158717,14468586
11M,Atorvastatin,0212000B0,469733,14429791
06K,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,128654,14428356
11A,Omeprazole,0103050P0,342913,14423847
11J,Bisoprolol Fumarate,0204000H0,403609,14416454
07M,Metformin Hydrochloride,0601022B0,136578,14406552
02Y,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,119214,14400735
15A,Metformin Hydrochloride,0601022B0,143610,14345251
11X,Atorvastatin,0212000B0,400810,14290844
04G,Amlodipine,0206020A0,521414,14289628
05A,Paracetamol,0407010H0,112103,14239110
11N,Atorvastatin,0212000B0,483284,14228795
11X,Ramipril,0205051R0,373070,14119718
00T,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,121988,14111021
01X,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,133911,14092560
99N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,118594,14023327
02Y,Paracetamol,0407010H0,107030,14019699
15M,Tramadol Hydrochloride,040702040,127767,13961482
12F,Paracetamol,0407010H0,100069,13773828
08V,Metformin Hydrochloride,0601022B0,211255,13762456
06F,Metformin Hydrochloride,0601022B0,157080,13750344
11J,Amlodipine,0206020A0,370773,13750132
02H,Paracetamol,0407010H0,102990,13743891
15M,Warfarin Sodium,0208020V0,114511,13739200
09G,Atorvastatin,0212000B0,377060,13691756
99J,Metformin Hydrochloride,0601022B0,175094,13666828
15N,Lansoprazole,0103050L0,405557,13651755
04G,Levothyroxine Sodium,0602010V0,475436,13649549
03L,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,110535,13588573
11X,Levothyroxine Sodium,0602010V0,344132,13587295
15M,Bisoprolol Fumarate,0204000H0,382785,13546626
08E,Metformin Hydrochloride,0601022B0,141164,13527262
05W,Paracetamol,0407010H0,101376,13469098
06H,Amitriptyline Hydrochloride,0403010B0,285691,13426256
11A,Ramipril,0205051R0,321114,13422719
15F,Amlodipine,0206020A0,376822,13375016
01W,Paracetamol,0407010H0,99443,13342126
02R,Paracetamol,0407010H0,109645,13327143
99A,Atorvastatin,0212000B0,427604,13293093
03T,Paracetamol,0407010H0,101925,13285507
15A,Paracetamol,0407010H0,95315,13248965
15E,Bisoprolol Fumarate,0204000H0,348513,13212307
99N,Atorvastatin,0212000B0,400214,13193585
10Q,Levothyroxine Sodium,0602010V0,358332,13152749
06T,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,110908,13056857
06N,Omeprazole,0103050P0,319785,13016537
02H,Omeprazole,0103050P0,290487,13012149
00T,Paracetamol,0407010H0,100715,12992543
00N,Paracetamol,0407010H0,105959,12981068
15E,Gabapentin,0408010G0,118994,12976385
05W,Metformin Hydrochloride,0601022B0,149345,12930747
15M,Sertraline Hydrochloride,0403030Q0,351887,12927040
00R,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,115370,12836469
06F,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,113534,12834067
15N,Tramadol Hydrochloride,040702040,136415,12791331
99J,Levothyroxine Sodium,0602010V0,400497,12760704
15C,Bisoprolol Fumarate,0204000H0,409752,12750945
06N,Levothyroxine Sodium,0602010V0,311707,12690946
06H,Gabapentin,0408010G0,121309,12667718
06K,Omeprazole,0103050P0,373882,12652683
02R,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,106465,12651797
03R,Metformin Hydrochloride,0601022B0,143437,12630751
11J,Amitriptyline Hydrochloride,0403010B0,229060,12600207
00L,Atorvastatin,0212000B0,443410,12589336
03N,Levothyroxine Sodium,0602010V0,422764,12578327
06L,Metformin Hydrochloride,0601022B0,138272,12466695
15M,Aspirin,0209000A0,354962,12456808
04K,Metformin Hydrochloride,0601022B0,125512,12432446
11A,Atorvastatin,0212000B0,321578,12395469
02X,Metformin Hydrochloride,0601022B0,160633,12369494
06L,Omeprazole,0103050P0,319639,12358183
05A,Omeprazole,0103050P0,328335,12324049
14Y,Paracetamol,0407010H0,91447,12314991
06A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,111800,12291600
99A,Omeprazole,0103050P0,307780,12283670
99J,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,114345,12281101
15N,Citalopram Hydrobromide,0403030D0,350889,12279685
03N,Omeprazole,0103050P0,365154,12273013
01W,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,105131,12272847
15N,Sertraline Hydrochloride,0403030Q0,364444,12270500
08G,Metformin Hydrochloride,0601022B0,128141,12228152
01Y,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,105419,12220153
00M,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,104992,12214648
05Y,Metformin Hydrochloride,0601022B0,113865,12202350
99J,Omeprazole,0103050P0,356779,12163503
04V,Metformin Hydrochloride,0601022B0,146161,12144416
15C,Amitriptyline Hydrochloride,0403010B0,231568,12139046
07W,Atorvastatin,0212000B0,370353,12108134
07Y,Metformin Hydrochloride,0601022B0,134322,12107030
01G,Paracetamol,0407010H0,108334,12037285
15F,Bisoprolol Fumarate,0204000H0,384631,12013022
05C,Metformin Hydrochloride,0601022B0,107233,11966907
08W,Metformin Hydrochloride,0601022B0,104740,11921354
11J,Aspirin,0209000A0,338073,11901010
06Q,Metformin Hydrochloride,0601022B0,148985,11864316
03N,Ramipril,0205051R0,391655,11797069
12F,Omeprazole,0103050P0,264902,11791213
00P,Metformin Hydrochloride,0601022B0,174111,11765704
03F,Metformin Hydrochloride,0601022B0,158049,11755592
10Q,Amlodipine,0206020A0,340676,11745930
04D,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,100376,11707921
03F,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,104226,11703881
00L,Metformin Hydrochloride,0601022B0,141123,11701092
06T,Paracetamol,0407010H0,81636,11700233
08K,Metformin Hydrochloride,0601022B0,154349,11691230
11A,Levothyroxine Sodium,0602010V0,264585,11672481
06H,Lisinopril,0205051L0,365168,11646721
06N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,109603,11645373
09G,Levothyroxine Sodium,0602010V0,289348,11602580
09G,Ramipril,0205051R0,300319,11585035
15N,Furosemide,0202020L0,347063,11572876
01G,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,108092,11515460
00D,Metformin Hydrochloride,0601022B0,176247,11498671
99J,Paracetamol,0407010H0,96393,11496291
06M,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,97038,11494663
02R,Atorvastatin,0212000B0,362898,11472701
08D,Metformin Hydrochloride,0601022B0,137936,11468875
01K,Metformin Hydrochloride,0601022B0,127706,11461990
03W,Paracetamol,0407010H0,84004,11457095
15N,Candesartan Cilexetil,0205052C0,326272,11447170
10Q,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,99464,11440677
15A,Levothyroxine Sodium,0602010V0,295491,11438565
02H,Metformin Hydrochloride,0601022B0,113875,11435245
11J,Lansoprazole,0103050L0,306196,11433303
15F,Omeprazole,0103050P0,294988,11410881
00Y,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,99015,11410848
14Y,Atorvastatin,0212000B0,316732,11410068
00M,Metformin Hydrochloride,0601022B0,143608,11410053
04C,Atorvastatin,0212000B0,366907,11362311
06Q,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,103585,11333110
13T,Levothyroxine Sodium,0602010V0,368089,11264724
11M,Amlodipine,0206020A0,340202,11245727
15E,Tramadol Hydrochloride,040702040,121044,11244099
99N,Levothyroxine Sodium,0602010V0,299187,11208767
05G,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,88736,11198606
00P,Lansoprazole,0103050L0,449562,11155705
08A,Metformin Hydrochloride,0601022B0,104286,11143067
11J,Simvastatin,0212000Y0,308278,11117215
06F,Atorvastatin,0212000B0,335755,11113420
01J,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,101985,11104271
06N,Paracetamol,0407010H0,96326,11082794
12F,Metformin Hydrochloride,0601022B0,120357,11066499
13T,Lansoprazole,0103050L0,420254,11006694
05N,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,92021,10974034
03N,Lansoprazole,0103050L0,373369,10971773
06H,Bisoprolol Fumarate,0204000H0,384104,10965102
02Y,Metformin Hydrochloride,0601022B0,135684,10946263
11X,Amlodipine,0206020A0,298373,10943323
15N,Gliclazide,0601021M0,156205,10940208
00Y,Metformin Hydrochloride,0601022B0,125018,10931239
06T,Levothyroxine Sodium,0602010V0,375457,10928215
01Y,Paracetamol,0407010H0,85372,10906003
05L,Amlodipine,0206020A0,284327,10876387
06Q,Atorvastatin,0212000B0,370531,10869292
06K,Levothyroxine Sodium,0602010V0,362527,10868401
01D,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,96662,10860595
01K,Omeprazole,0103050P0,294102,10856705
03N,Amlodipine,0206020A0,373059,10854161
02X,Lansoprazole,0103050L0,319339,10826388
02H,Atorvastatin,0212000B0,283299,10822447
01H,Metformin Hydrochloride,0601022B0,119356,10779370
03R,Atorvastatin,0212000B0,319777,10766739
15E,Sertraline Hydrochloride,0403030Q0,296481,10766621
11M,Ramipril,0205051R0,311647,10762663
99A,Gabapentin,0408010G0,100110,10743395
05N,Paracetamol,0407010H0,82883,10738435
00P,Atorvastatin,0212000B0,435940,10712081
02M,Paracetamol,0407010H0,80809,10704376
06N,Amlodipine,0206020A0,279062,10699422
15C,Sertraline Hydrochloride,0403030Q0,308648,10675746
00D,Atorvastatin,0212000B0,437588,10671149
06H,Aspirin,0209000A0,386432,10660910
04G,Gabapentin,0408010G0,98780,10649829
05T,Paracetamol,0407010H0,87679,10648034
09W,Metformin Hydrochloride,0601022B0,113962,10644922
06T,Metformin Hydrochloride,0601022B0,144119,10628445
06F,Levothyroxine Sodium,0602010V0,293810,10589813
15A,Omeprazole,0103050P0,277112,10491505
09Y,Metformin Hydrochloride,0601022B0,86995,10470213
15N,Prednisolone,0603020T0,193247,10452785
06K,Amlodipine,0206020A0,359141,10451399
08F,Metformin Hydrochloride,0601022B0,101632,10442459
03A,Paracetamol,0407010H0,89861,10439918
05C,Paracetamol,0407010H0,78993,10438904
05H,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,82683,10422117
15D,Atorvastatin,0212000B0,277822,10419566
04K,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,85510,10407167
00L,Codeine Phosphate,0407020C0,125705,10390771
08Q,Metformin Hydrochloride,0601022B0,125107,10380699
14Y,Amlodipine,0206020A0,277225,10380693
99E,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,89340,10360077
06L,Atorvastatin,0212000B0,323698,10352904
11N,Amlodipine,0206020A0,333329,10350941
00T,Metformin Hydrochloride,0601022B0,125020,10340370
06L,Levothyroxine Sodium,0602010V0,303540,10335390
08X,Metformin Hydrochloride,0601022B0,141348,10316576
04E,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,80170,10307867
15N,Warfarin Sodium,0208020V0,218503,10302572
03L,Metformin Hydrochloride,0601022B0,126327,10244194
01A,Atorvastatin,0212000B0,334267,10238222
07T,Metformin Hydrochloride,0601022B0,91970,10230265
06K,Ramipril,0205051R0,348099,10216320
02F,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,85691,10180688
05L,Lansoprazole,0103050L0,268521,10172283
06H,Ramipril,0205051R0,345637,10162806
02E,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,85528,10155514
00K,Metformin Hydrochloride,0601022B0,113637,10145231
99A,Lansoprazole,0103050L0,303994,10134134
02X,Atorvastatin,0212000B0,343984,10133299
15E,Amitriptyline Hydrochloride,0403010B0,201615,10129708
06N,Ramipril,0205051R0,265258,10113289
04G,Bisoprolol Fumarate,0204000H0,360335,10110685
07K,Paracetamol,0407010H0,77045,10104480
15E,Gliclazide,0601021M0,125469,10103808
01W,Metformin Hydrochloride,0601022B0,119120,10081432
05N,Omeprazole,0103050P0,250558,10081017
06A,Metformin Hydrochloride,0601022B0,131080,10074426
06Q,Omeprazole,0103050P0,282639,10057150
99N,Ramipril,0205051R0,281826,10054594
15F,Amitriptyline Hydrochloride,0403010B0,210653,10047744
06H,Simvastatin,0212000Y0,351849,10031988
06Y,Paracetamol,0407010H0,75270,10020573
11A,Amlodipine,0206020A0,248144,9991733
14Y,Levothyroxine Sodium,0602010V0,251198,9984395
05Y,Paracetamol,0407010H0,81879,9981992
05W,Atorvastatin,0212000B0,312920,9975509
01Y,Metformin Hydrochloride,0601022B0,111027,9950405
15M,Bendroflumethiazide,0202010B0,255886,9946756
05N,Metformin Hydrochloride,0601022B0,102883,9932264
04C,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,85974,9916566
06M,Metformin Hydrochloride,0601022B0,101380,9916359
01K,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,84120,9915044
99J,Atorvastatin,0212000B0,336784,9909514
15M,Gliclazide,0601021M0,129348,9905157
10Q,Ramipril,0205051R0,280381,9900183
00L,Lansoprazole,0103050L0,327184,9896998
03T,Metformin Hydrochloride,0601022B0,144870,9890728
07Q,Metformin Hydrochloride,0601022B0,71700,9873266
02P,Metformin Hydrochloride,0601022B0,144645,9830360
14L,Amlodipine,0206020A0,305095,9824810
04V,Atorvastatin,0212000B0,325614,9794367
04F,Metformin Hydrochloride,0601022B0,80851,9791824
00K,Atorvastatin,0212000B0,302903,9788832
03K,Paracetamol,0407010H0,77585,9781840
01H,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,88307,9768942
05A,Atorvastatin,0212000B0,316337,9727303
11X,Bisoprolol Fumarate,0204000H0,264904,9723678
03W,Metformin Hydrochloride,0601022B0,112389,9696822
15C,Aspirin,0209000A0,319951,9690004
09G,Amlodipine,0206020A0,253000,9684882
13T,Omeprazole,0103050P0,317620,9684580
11N,Lisinopril,0205051L0,299441,9680310
11M,Bisoprolol Fumarate,0204000H0,336016,9660320
99N,Amlodipine,0206020A0,277751,9628401
06F,Paracetamol,0407010H0,77170,9622273
11X,Amitriptyline Hydrochloride,0403010B0,166983,9613704
05Q,Paracetamol,0407010H0,75766,9608601
11N,Amitriptyline Hydrochloride,0403010B0,199050,9595494
08L,Metformin Hydrochloride,0601022B0,77117,9594400
02T,Paracetamol,0407010H0,76779,9538520
02R,Metformin Hydrochloride,0601022B0,134024,9533562
15D,Levothyroxine Sodium,0602010V0,211264,9528681
02R,Lansoprazole,0103050L0,301355,9523625
15F,Aspirin,0209000A0,334469,9518061
01A,Omeprazole,0103050P0,254430,9493613
15A,Atorvastatin,0212000B0,275759,9467068
02M,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,81921,9459358
15C,Tramadol Hydrochloride,040702040,107244,9432912
02F,Paracetamol,0407010H0,70268,9425463
05G,Paracetamol,0407010H0,66361,9418846
02Y,Atorvastatin,0212000B0,323578,9407626
02Y,Lansoprazole,0103050L0,286000,9394225
09J,Metformin Hydrochloride,0601022B0,99269,9381605
15N,Pregabalin,0408010AE,203323,9378793
07L,Metformin Hydrochloride,0601022B0,110992,9372441
15F,Simvastatin,0212000Y0,292978,9339646
99A,Amlodipine,0206020A0,284107,9311686
06T,Atorvastatin,0212000B0,335482,9298047
08M,Atorvastatin,0212000B0,380759,9256593
05L,Levothyroxine Sodium,0602010V0,223585,9255214
03Q,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,75804,9240255
03W,Atorvastatin,0212000B0,282467,9216655
01D,Metformin Hydrochloride,0601022B0,93560,9204432
00R,Paracetamol,0407010H0,69434,9192670
15M,Citalopram Hydrobromide,0403030D0,242659,9189651
12F,Atorvastatin,0212000B0,268293,9181519
15C,Simvastatin,0212000Y0,281399,9180690
07N,Metformin Hydrochloride,0601022B0,82720,9180448
00J,Metformin Hydrochloride,0601022B0,126797,9178557
06A,Paracetamol,0407010H0,83422,9163383
11J,Gabapentin,0408010G0,82996,9149714
05C,Atorvastatin,0212000B0,212734,9141147
05W,Omeprazole,0103050P0,238849,9137287
06P,Metformin Hydrochloride,0601022B0,79406,9128890
11N,Bisoprolol Fumarate,0204000H0,311371,9125612
13T,Tramadol Hydrochloride,040702040,96818,9108003
05T,Metformin Hydrochloride,0601022B0,119712,9084120
05N,Atorvastatin,0212000B0,266523,9081777
07M,Atorvastatin,0212000B0,235588,9069233
06F,Omeprazole,0103050P0,233720,9057920
06H,Sertraline Hydrochloride,0403030Q0,295002,9043321
11X,Simvastatin,0212000Y0,248002,9038439
99E,Metformin Hydrochloride,0601022B0,86833,9025026
05G,Metformin Hydrochloride,0601022B0,96556,9023420
05H,Paracetamol,0407010H0,67285,9018622
10A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,78104,9014242
10K,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,70254,9012970
06L,Ramipril,0205051R0,262602,8971080
10X,Paracetamol,0407010H0,58199,8957661
03Q,Metformin Hydrochloride,0601022B0,101725,8952936
05A,Levothyroxine Sodium,0602010V0,265314,8938902
06Q,Levothyroxine Sodium,0602010V0,283984,8922802
15F,Sertraline Hydrochloride,0403030Q0,272812,8898639
04V,Lansoprazole,0103050L0,279919,8897852
05Y,Atorvastatin,0212000B0,214215,8893794
06F,Amlodipine,0206020A0,258774,8875066
01G,Metformin Hydrochloride,0601022B0,126019,8867021
14Y,Omeprazole,0103050P0,216010,8842919
03N,Gabapentin,0408010G0,87810,8840424
13T,Gabapentin,0408010G0,118171,8830189
11N,Simvastatin,0212000Y0,291532,8827178
03R,Lansoprazole,0103050L0,249576,8826062
05W,Ramipril,0205051R0,244480,8817675
01A,Gabapentin,0408010G0,80999,8817282
07H,Metformin Hydrochloride,0601022B0,112039,8816461
01H,Levothyroxine Sodium,0602010V0,265131,8784051
09G,Bisoprolol Fumarate,0204000H0,246078,8771455
01H,Atorvastatin,0212000B0,284981,8766031
03R,Ramipril,0205051R0,244509,8754633
10R,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,72636,8746910
03L,Atorvastatin,0212000B0,296192,8744904
15C,Gabapentin,0408010G0,92322,8744838
15N,Bendroflumethiazide,0202010B0,237825,8741205
06H,Lansoprazole,0103050L0,283731,8722043
00L,Levothyroxine Sodium,0602010V0,274461,8714630
12D,Metformin Hydrochloride,0601022B0,105935,8712544
01K,Atorvastatin,0212000B0,278490,8704959
09W,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,77072,8684551
14Y,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,75633,8684433
05R,Paracetamol,0407010H0,67651,8684084
02A,Co-Codamol (Codeine Phos/Paracetamol),0407010F0,75927,8659226
06H,Citalopram Hydrobromide,0403030D0,284503,8651649
