,pct,chemical,chemical_code,total_items,total_tabs_caps,ltc_stablish
395,06M,Metformin Hydrochloride,0601022B0,101380.0,9916359.0,1.0
396,03T,Metformin Hydrochloride,0601022B0,144870.0,9890728.0,1.0
397,07Q,Metformin Hydrochloride,0601022B0,71700.0,9873266.0,1.0
398,02P,Metformin Hydrochloride,0601022B0,144645.0,9830360.0,1.0
399,04F,Metformin Hydrochloride,0601022B0,80851.0,9791824.0,1.0
400,03W,Metformin Hydrochloride,0601022B0,112389.0,9696822.0,1.0
401,08L,Metformin Hydrochloride,0601022B0,77117.0,9594400.0,1.0
402,02R,Metformin Hydrochloride,0601022B0,134024.0,9533562.0,1.0
403,09J,Metformin Hydrochloride,0601022B0,99269.0,9381605.0,1.0
404,07L,Metformin Hydrochloride,0601022B0,110992.0,9372441.0,1.0
405,01D,Metformin Hydrochloride,0601022B0,93560.0,9204432.0,1.0
406,07N,Metformin Hydrochloride,0601022B0,82720.0,9180448.0,1.0
407,00J,Metformin Hydrochloride,0601022B0,126797.0,9178557.0,1.0
408,06P,Metformin Hydrochloride,0601022B0,79406.0,9128890.0,1.0
409,05T,Metformin Hydrochloride,0601022B0,119712.0,9084120.0,1.0
410,99E,Metformin Hydrochloride,0601022B0,86833.0,9025026.0,1.0
411,05G,Metformin Hydrochloride,0601022B0,96556.0,9023420.0,1.0
412,03Q,Metformin Hydrochloride,0601022B0,101725.0,8952936.0,1.0
413,01G,Metformin Hydrochloride,0601022B0,126019.0,8867021.0,1.0
414,07H,Metformin Hydrochloride,0601022B0,112039.0,8816461.0,1.0
415,12D,Metformin Hydrochloride,0601022B0,105935.0,8712544.0,1.0
416,10X,Metformin Hydrochloride,0601022B0,75303.0,8515541.0,1.0
417,03A,Metformin Hydrochloride,0601022B0,98108.0,8298740.0,1.0
418,01X,Metformin Hydrochloride,0601022B0,83331.0,7973048.0,1.0
419,07K,Metformin Hydrochloride,0601022B0,103872.0,7896228.0,1.0
420,02F,Metformin Hydrochloride,0601022B0,81529.0,7841970.0,1.0
421,99H,Metformin Hydrochloride,0601022B0,69352.0,7820864.0,1.0
422,03J,Metformin Hydrochloride,0601022B0,96465.0,7767263.0,1.0
423,10A,Metformin Hydrochloride,0601022B0,68299.0,7693395.0,1.0
424,10V,Metformin Hydrochloride,0601022B0,67245.0,7615258.0,1.0
425,08H,Metformin Hydrochloride,0601022B0,56659.0,7429356.0,1.0
426,05Q,Metformin Hydrochloride,0601022B0,84481.0,7415452.0,1.0
427,99M,Metformin Hydrochloride,0601022B0,67220.0,7362407.0,1.0
428,08R,Metformin Hydrochloride,0601022B0,80988.0,7353218.0,1.0
429,00Q,Metformin Hydrochloride,0601022B0,85263.0,7346398.0,1.0
430,99C,Metformin Hydrochloride,0601022B0,94416.0,7281639.0,1.0
431,05H,Metformin Hydrochloride,0601022B0,94211.0,7265516.0,1.0
432,05R,Metformin Hydrochloride,0601022B0,90838.0,7247440.0,1.0
433,04E,Metformin Hydrochloride,0601022B0,98959.0,7187709.0,1.0
434,02E,Metformin Hydrochloride,0601022B0,72709.0,7183754.0,1.0
435,02T,Metformin Hydrochloride,0601022B0,93037.0,7170582.0,1.0
436,10K,Metformin Hydrochloride,0601022B0,56808.0,7151614.0,1.0
437,00R,Metformin Hydrochloride,0601022B0,90665.0,7103433.0,1.0
438,04D,Metformin Hydrochloride,0601022B0,103408.0,7041635.0,1.0
439,05X,Metformin Hydrochloride,0601022B0,58489.0,7016632.0,1.0
440,00V,Metformin Hydrochloride,0601022B0,73710.0,7011569.0,1.0
441,02A,Metformin Hydrochloride,0601022B0,88725.0,6987734.0,1.0
442,08T,Metformin Hydrochloride,0601022B0,82679.0,6917740.0,1.0
443,03K,Metformin Hydrochloride,0601022B0,86344.0,6901929.0,1.0
444,07J,Metformin Hydrochloride,0601022B0,93909.0,6816644.0,1.0
445,07R,Metformin Hydrochloride,0601022B0,52280.0,6792750.0,1.0
446,06Y,Metformin Hydrochloride,0601022B0,89320.0,6659397.0,1.0
447,08Y,Metformin Hydrochloride,0601022B0,67450.0,6647470.0,1.0
448,09E,Metformin Hydrochloride,0601022B0,61176.0,6627581.0,1.0
449,10R,Metformin Hydrochloride,0601022B0,63535.0,6538277.0,1.0
450,09P,Metformin Hydrochloride,0601022B0,74390.0,6514862.0,1.0
451,02W,Metformin Hydrochloride,0601022B0,99323.0,6460981.0,1.0
452,09F,Metformin Hydrochloride,0601022B0,65735.0,6321461.0,1.0
453,09D,Metformin Hydrochloride,0601022B0,75233.0,6320551.0,1.0
454,05F,Metformin Hydrochloride,0601022B0,73678.0,6268724.0,1.0
455,09X,Metformin Hydrochloride,0601022B0,48500.0,6262122.0,1.0
456,01J,Metformin Hydrochloride,0601022B0,76800.0,6256330.0,1.0
457,99F,Metformin Hydrochloride,0601022B0,56821.0,6251210.0,1.0
458,06V,Metformin Hydrochloride,0601022B0,88615.0,6229310.0,1.0
459,02M,Metformin Hydrochloride,0601022B0,79906.0,6161441.0,1.0
460,10J,Metformin Hydrochloride,0601022B0,66810.0,6117677.0,1.0
461,99D,Metformin Hydrochloride,0601022B0,99046.0,6070113.0,1.0
462,07G,Metformin Hydrochloride,0601022B0,78482.0,6040363.0,1.0
463,01R,Metformin Hydrochloride,0601022B0,60596.0,6021177.0,1.0
464,01E,Metformin Hydrochloride,0601022B0,83278.0,5972268.0,1.0
465,03H,Metformin Hydrochloride,0601022B0,74089.0,5960364.0,1.0
466,99G,Metformin Hydrochloride,0601022B0,55500.0,5925935.0,1.0
467,06W,Metformin Hydrochloride,0601022B0,62572.0,5751635.0,1.0
468,08J,Metformin Hydrochloride,0601022B0,61254.0,5676286.0,1.0
469,01C,Metformin Hydrochloride,0601022B0,69985.0,5652821.0,1.0
470,05J,Metformin Hydrochloride,0601022B0,46697.0,5607090.0,1.0
471,04Y,Metformin Hydrochloride,0601022B0,55124.0,5442378.0,1.0
472,09A,Metformin Hydrochloride,0601022B0,58331.0,5269304.0,1.0
473,09L,Metformin Hydrochloride,0601022B0,43568.0,5211441.0,1.0
474,10E,Metformin Hydrochloride,0601022B0,54798.0,5189904.0,1.0
475,08C,Metformin Hydrochloride,0601022B0,71959.0,5180476.0,1.0
476,00X,Metformin Hydrochloride,0601022B0,58648.0,5129189.0,1.0
477,01T,Metformin Hydrochloride,0601022B0,63455.0,5120622.0,1.0
478,10L,Metformin Hydrochloride,0601022B0,57669.0,5046430.0,1.0
479,00N,Metformin Hydrochloride,0601022B0,72896.0,4994523.0,1.0
480,11E,Metformin Hydrochloride,0601022B0,61852.0,4934418.0,1.0
481,01F,Metformin Hydrochloride,0601022B0,52528.0,4849212.0,1.0
482,09N,Metformin Hydrochloride,0601022B0,45576.0,4785278.0,1.0
483,05D,Metformin Hydrochloride,0601022B0,59512.0,4732446.0,1.0
484,04Q,Metformin Hydrochloride,0601022B0,70323.0,4722312.0,1.0
485,03D,Metformin Hydrochloride,0601022B0,59012.0,4718143.0,1.0
486,04L,Metformin Hydrochloride,0601022B0,46646.0,4694658.0,1.0
487,05V,Metformin Hydrochloride,0601022B0,51948.0,4683312.0,1.0
488,02N,Metformin Hydrochloride,0601022B0,49974.0,4563664.0,1.0
489,09H,Metformin Hydrochloride,0601022B0,45460.0,4481278.0,1.0
490,04H,Metformin Hydrochloride,0601022B0,54637.0,4450664.0,1.0
491,02Q,Metformin Hydrochloride,0601022B0,52589.0,4431494.0,1.0
492,03E,Metformin Hydrochloride,0601022B0,50269.0,4220889.0,1.0
493,99K,Metformin Hydrochloride,0601022B0,46742.0,4209238.0,1.0
494,06D,Metformin Hydrochloride,0601022B0,36234.0,4203093.0,1.0
495,09C,Metformin Hydrochloride,0601022B0,42031.0,4199393.0,1.0
496,10D,Metformin Hydrochloride,0601022B0,41742.0,4052700.0,1.0
497,01V,Metformin Hydrochloride,0601022B0,49444.0,3965829.0,1.0
498,08P,Metformin Hydrochloride,0601022B0,52899.0,3912813.0,1.0
499,03M,Metformin Hydrochloride,0601022B0,52842.0,3827996.0,1.0
500,02D,Metformin Hydrochloride,0601022B0,48469.0,3761310.0,1.0
501,04M,Metformin Hydrochloride,0601022B0,31945.0,3496531.0,1.0
502,00C,Metformin Hydrochloride,0601022B0,44136.0,3467079.0,1.0
503,04N,Metformin Hydrochloride,0601022B0,39420.0,3429684.0,1.0
504,02G,Metformin Hydrochloride,0601022B0,41297.0,3311372.0,1.0
505,10C,Metformin Hydrochloride,0601022B0,27464.0,2957814.0,1.0
506,03V,Metformin Hydrochloride,0601022B0,29605.0,2313319.0,1.0
507,RRF,Metformin Hydrochloride,0601022B0,192.0,10175.0,1.0
508,RY4,Metformin Hydrochloride,0601022B0,167.0,9443.0,1.0
509,RL4,Metformin Hydrochloride,0601022B0,120.0,6884.0,1.0
510,NDL,Metformin Hydrochloride,0601022B0,69.0,5902.0,1.0
511,RY2,Metformin Hydrochloride,0601022B0,149.0,5016.0,1.0
512,RTD,Metformin Hydrochloride,0601022B0,85.0,4680.0,1.0
513,RTX,Metformin Hydrochloride,0601022B0,56.0,4406.0,1.0
514,RXC,Metformin Hydrochloride,0601022B0,74.0,3731.0,1.0
515,RTR,Metformin Hydrochloride,0601022B0,62.0,3603.0,1.0
516,RJ1,Metformin Hydrochloride,0601022B0,76.0,3531.0,1.0
517,112,Metformin Hydrochloride,0601022B0,50.0,3451.0,1.0
518,RJ8,Metformin Hydrochloride,0601022B0,31.0,3344.0,1.0
519,NTP,Metformin Hydrochloride,0601022B0,182.0,3297.0,1.0
520,RRE,Metformin Hydrochloride,0601022B0,46.0,3023.0,1.0
521,RVW,Metformin Hydrochloride,0601022B0,51.0,2772.0,1.0
522,R0B,Metformin Hydrochloride,0601022B0,44.0,2772.0,1.0
523,NV6,Metformin Hydrochloride,0601022B0,47.0,2562.0,1.0
524,RNU,Metformin Hydrochloride,0601022B0,50.0,2218.0,1.0
525,NQ7,Metformin Hydrochloride,0601022B0,55.0,2169.0,1.0
526,RY5,Metformin Hydrochloride,0601022B0,44.0,2100.0,1.0
527,NLX,Metformin Hydrochloride,0601022B0,27.0,2066.0,1.0
528,NVC,Metformin Hydrochloride,0601022B0,14.0,2048.0,1.0
529,NVE,Metformin Hydrochloride,0601022B0,104.0,1854.0,1.0
530,RYG,Metformin Hydrochloride,0601022B0,26.0,1827.0,1.0
531,RXQ,Metformin Hydrochloride,0601022B0,19.0,1800.0,1.0
532,RWX,Metformin Hydrochloride,0601022B0,55.0,1652.0,1.0
533,NNF,Metformin Hydrochloride,0601022B0,30.0,1610.0,1.0
534,AXG,Metformin Hydrochloride,0601022B0,28.0,1413.0,1.0
535,RYW,Metformin Hydrochloride,0601022B0,19.0,1358.0,1.0
536,NBF,Metformin Hydrochloride,0601022B0,21.0,1330.0,1.0
537,RH5,Metformin Hydrochloride,0601022B0,22.0,1271.0,1.0
538,NQV,Metformin Hydrochloride,0601022B0,24.0,1207.0,1.0
539,RFR,Metformin Hydrochloride,0601022B0,19.0,1195.0,1.0
540,RGQ,Metformin Hydrochloride,0601022B0,12.0,1156.0,1.0
541,RRU,Metformin Hydrochloride,0601022B0,47.0,1104.0,1.0
542,NLO,Metformin Hydrochloride,0601022B0,39.0,1086.0,1.0
543,RY6,Metformin Hydrochloride,0601022B0,16.0,1033.0,1.0
544,R1K,Metformin Hydrochloride,0601022B0,17.0,988.0,1.0
545,AD9,Metformin Hydrochloride,0601022B0,27.0,965.0,1.0
546,NW0,Metformin Hydrochloride,0601022B0,39.0,960.0,1.0
547,NKB,Metformin Hydrochloride,0601022B0,52.0,953.0,1.0
548,RY8,Metformin Hydrochloride,0601022B0,21.0,882.0,1.0
549,AC0,Metformin Hydrochloride,0601022B0,28.0,867.0,1.0
550,RMC,Metformin Hydrochloride,0601022B0,17.0,812.0,1.0
551,NT4,Metformin Hydrochloride,0601022B0,6.0,795.0,1.0
552,NTV,Metformin Hydrochloride,0601022B0,16.0,714.0,1.0
553,NR3,Metformin Hydrochloride,0601022B0,8.0,679.0,1.0
554,AE8,Metformin Hydrochloride,0601022B0,12.0,616.0,1.0
555,RTQ,Metformin Hydrochloride,0601022B0,27.0,592.0,1.0
556,NI3,Metformin Hydrochloride,0601022B0,5.0,588.0,1.0
557,R1L,Metformin Hydrochloride,0601022B0,5.0,512.0,1.0
558,DR3,Metformin Hydrochloride,0601022B0,5.0,492.0,1.0
559,212,Metformin Hydrochloride,0601022B0,4.0,448.0,1.0
560,RYF,Metformin Hydrochloride,0601022B0,17.0,448.0,1.0
561,NMS,Metformin Hydrochloride,0601022B0,4.0,448.0,1.0
562,RX6,Metformin Hydrochloride,0601022B0,30.0,440.0,1.0
563,DL0,Metformin Hydrochloride,0601022B0,18.0,435.0,1.0
564,R1A,Metformin Hydrochloride,0601022B0,11.0,427.0,1.0
565,RPG,Metformin Hydrochloride,0601022B0,10.0,426.0,1.0
566,RNA,Metformin Hydrochloride,0601022B0,3.0,420.0,1.0
567,NDA,Metformin Hydrochloride,0601022B0,8.0,372.0,1.0
568,RKL,Metformin Hydrochloride,0601022B0,5.0,370.0,1.0
569,RHA,Metformin Hydrochloride,0601022B0,16.0,309.0,1.0
570,14A,Metformin Hydrochloride,0601022B0,9.0,287.0,1.0
571,720,Metformin Hydrochloride,0601022B0,2.0,252.0,1.0
572,RCD,Metformin Hydrochloride,0601022B0,9.0,236.0,1.0
573,NWX,Metformin Hydrochloride,0601022B0,1.0,224.0,1.0
574,NCN,Metformin Hydrochloride,0601022B0,4.0,224.0,1.0
575,RY7,Metformin Hydrochloride,0601022B0,15.0,218.0,1.0
576,NL8,Metformin Hydrochloride,0601022B0,4.0,217.0,1.0
577,RW5,Metformin Hydrochloride,0601022B0,4.0,196.0,1.0
578,RJC,Metformin Hydrochloride,0601022B0,3.0,182.0,1.0
579,13V,Metformin Hydrochloride,0601022B0,8.0,175.0,1.0
580,DAY,Metformin Hydrochloride,0601022B0,2.0,168.0,1.0
581,NV1,Metformin Hydrochloride,0601022B0,2.0,168.0,1.0
582,RM1,Metformin Hydrochloride,0601022B0,2.0,144.0,1.0
583,RXA,Metformin Hydrochloride,0601022B0,7.0,140.0,1.0
584,RBZ,Metformin Hydrochloride,0601022B0,4.0,140.0,1.0
585,14F,Metformin Hydrochloride,0601022B0,7.0,133.0,1.0
586,R1F,Metformin Hydrochloride,0601022B0,9.0,132.0,1.0
587,RA9,Metformin Hydrochloride,0601022B0,3.0,119.0,1.0
588,RXG,Metformin Hydrochloride,0601022B0,3.0,112.0,1.0
589,215,Metformin Hydrochloride,0601022B0,2.0,112.0,1.0
590,RX4,Metformin Hydrochloride,0601022B0,1.0,112.0,1.0
591,NWE,Metformin Hydrochloride,0601022B0,1.0,112.0,1.0
592,DJT,Metformin Hydrochloride,0601022B0,1.0,112.0,1.0
593,ACH,Metformin Hydrochloride,0601022B0,1.0,112.0,1.0
594,RTF,Metformin Hydrochloride,0601022B0,2.0,98.0,1.0
595,AXT,Metformin Hydrochloride,0601022B0,2.0,98.0,1.0
596,RYY,Metformin Hydrochloride,0601022B0,3.0,88.0,1.0
597,NPR,Metformin Hydrochloride,0601022B0,1.0,84.0,1.0
598,RV3,Metformin Hydrochloride,0601022B0,2.0,84.0,1.0
599,RH8,Metformin Hydrochloride,0601022B0,2.0,70.0,1.0
600,RXK,Metformin Hydrochloride,0601022B0,2.0,66.0,1.0
601,NYG,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
602,RJ7,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
603,RDR,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
604,14H,Metformin Hydrochloride,0601022B0,2.0,56.0,1.0
605,RTK,Metformin Hydrochloride,0601022B0,2.0,56.0,1.0
606,R1E,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
607,14E,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
608,NKI,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
609,NR5,Metformin Hydrochloride,0601022B0,2.0,56.0,1.0
610,RXH,Metformin Hydrochloride,0601022B0,1.0,56.0,1.0
611,R1D,Metformin Hydrochloride,0601022B0,1.0,30.0,1.0
612,RQX,Metformin Hydrochloride,0601022B0,1.0,28.0,1.0
613,RYJ,Metformin Hydrochloride,0601022B0,1.0,28.0,1.0
614,RV9,Metformin Hydrochloride,0601022B0,1.0,28.0,1.0
615,RTV,Metformin Hydrochloride,0601022B0,1.0,28.0,1.0
616,RNN,Metformin Hydrochloride,0601022B0,1.0,15.0,1.0
617,ARF,Metformin Hydrochloride,0601022B0,1.0,14.0,1.0
618,RE9,Metformin Hydrochloride,0601022B0,1.0,14.0,1.0
1278,15N,Atorvastatin,0212000B0,990003.0,32649249.0,1.0
1279,15E,Atorvastatin,0212000B0,793295.0,31884539.0,1.0
1280,15M,Atorvastatin,0212000B0,698060.0,25492349.0,1.0
1281,15C,Atorvastatin,0212000B0,699027.0,23130843.0,1.0
1282,15F,Atorvastatin,0212000B0,671741.0,21334896.0,1.0
1283,06H,Atorvastatin,0212000B0,693642.0,19941096.0,1.0
1284,11J,Atorvastatin,0212000B0,538297.0,19127674.0,1.0
1285,13T,Atorvastatin,0212000B0,697177.0,17921417.0,1.0
1286,04G,Atorvastatin,0212000B0,641349.0,17286443.0,1.0
1287,05L,Atorvastatin,0212000B0,434016.0,16220853.0,1.0
1288,10Q,Atorvastatin,0212000B0,489509.0,15935361.0,1.0
1289,06K,Atorvastatin,0212000B0,534113.0,14841044.0,1.0
1290,14L,Atorvastatin,0212000B0,487425.0,14598966.0,1.0
1291,03N,Atorvastatin,0212000B0,535949.0,14538615.0,1.0
1292,06N,Atorvastatin,0212000B0,400666.0,14498725.0,1.0
1293,11M,Atorvastatin,0212000B0,469733.0,14429791.0,1.0
1294,11X,Atorvastatin,0212000B0,400810.0,14290844.0,1.0
1295,11N,Atorvastatin,0212000B0,483284.0,14228795.0,1.0
1296,09G,Atorvastatin,0212000B0,377060.0,13691756.0,1.0
1297,99A,Atorvastatin,0212000B0,427604.0,13293093.0,1.0
1298,99N,Atorvastatin,0212000B0,400214.0,13193585.0,1.0
1299,00L,Atorvastatin,0212000B0,443410.0,12589336.0,1.0
1300,11A,Atorvastatin,0212000B0,321578.0,12395469.0,1.0
1301,07W,Atorvastatin,0212000B0,370353.0,12108134.0,1.0
1302,02R,Atorvastatin,0212000B0,362898.0,11472701.0,1.0
1303,14Y,Atorvastatin,0212000B0,316732.0,11410068.0,1.0
1304,04C,Atorvastatin,0212000B0,366907.0,11362311.0,1.0
1305,06F,Atorvastatin,0212000B0,335755.0,11113420.0,1.0
1306,06Q,Atorvastatin,0212000B0,370531.0,10869292.0,1.0
1307,02H,Atorvastatin,0212000B0,283299.0,10822447.0,1.0
1308,03R,Atorvastatin,0212000B0,319777.0,10766739.0,1.0
1309,00P,Atorvastatin,0212000B0,435940.0,10712081.0,1.0
1310,00D,Atorvastatin,0212000B0,437588.0,10671149.0,1.0
1311,15D,Atorvastatin,0212000B0,277822.0,10419566.0,1.0
1312,06L,Atorvastatin,0212000B0,323698.0,10352904.0,1.0
1313,01A,Atorvastatin,0212000B0,334267.0,10238222.0,1.0
1314,02X,Atorvastatin,0212000B0,343984.0,10133299.0,1.0
1315,05W,Atorvastatin,0212000B0,312920.0,9975509.0,1.0
1316,99J,Atorvastatin,0212000B0,336784.0,9909514.0,1.0
1317,04V,Atorvastatin,0212000B0,325614.0,9794367.0,1.0
1318,00K,Atorvastatin,0212000B0,302903.0,9788832.0,1.0
1319,05A,Atorvastatin,0212000B0,316337.0,9727303.0,1.0
1320,15A,Atorvastatin,0212000B0,275759.0,9467068.0,1.0
1321,02Y,Atorvastatin,0212000B0,323578.0,9407626.0,1.0
1322,06T,Atorvastatin,0212000B0,335482.0,9298047.0,1.0
1323,08M,Atorvastatin,0212000B0,380759.0,9256593.0,1.0
1324,03W,Atorvastatin,0212000B0,282467.0,9216655.0,1.0
1325,12F,Atorvastatin,0212000B0,268293.0,9181519.0,1.0
1326,05C,Atorvastatin,0212000B0,212734.0,9141147.0,1.0
1327,05N,Atorvastatin,0212000B0,266523.0,9081777.0,1.0
1328,07M,Atorvastatin,0212000B0,235588.0,9069233.0,1.0
1329,05Y,Atorvastatin,0212000B0,214215.0,8893794.0,1.0
1330,01H,Atorvastatin,0212000B0,284981.0,8766031.0,1.0
1331,03L,Atorvastatin,0212000B0,296192.0,8744904.0,1.0
1332,01K,Atorvastatin,0212000B0,278490.0,8704959.0,1.0
1333,02P,Atorvastatin,0212000B0,324536.0,8402596.0,1.0
1334,03T,Atorvastatin,0212000B0,318751.0,8333341.0,1.0
1335,00M,Atorvastatin,0212000B0,285938.0,8287211.0,1.0
1336,07P,Atorvastatin,0212000B0,235138.0,8257137.0,1.0
1337,08N,Atorvastatin,0212000B0,212886.0,8154668.0,1.0
1338,00T,Atorvastatin,0212000B0,235158.0,8115920.0,1.0
1339,04K,Atorvastatin,0212000B0,231321.0,8086630.0,1.0
1340,01Y,Atorvastatin,0212000B0,234656.0,8085560.0,1.0
1341,00J,Atorvastatin,0212000B0,305554.0,8017381.0,1.0
1342,03F,Atorvastatin,0212000B0,301220.0,8017154.0,1.0
1343,07Q,Atorvastatin,0212000B0,163681.0,7957139.0,1.0
1344,00Y,Atorvastatin,0212000B0,242146.0,7954951.0,1.0
1345,07X,Atorvastatin,0212000B0,260329.0,7913844.0,1.0
1346,09Y,Atorvastatin,0212000B0,175237.0,7890417.0,1.0
1347,09W,Atorvastatin,0212000B0,221039.0,7800380.0,1.0
1348,07Y,Atorvastatin,0212000B0,237977.0,7786028.0,1.0
1349,03Q,Atorvastatin,0212000B0,244198.0,7644863.0,1.0
1350,08F,Atorvastatin,0212000B0,201998.0,7599830.0,1.0
