,chemical,chemical_code,total_items,total_tabs_caps
389,Phenytoin Sodium,0408010Q0,677350,38793409
127,Dapagliflozin,0601023AG,1106330,35840650
519,Verapamil Hydrochloride,0206020T0,654183,35386427
293,Metoclopramide Hydrochloride,0406000P0,668655,34610595
345,Orlistat,0405010P0,356107,32652857
486,Ticagrelor,0209000Z0,580398,32511826
258,Lithium Carbonate,0402030K0,862384,31686582
175,Estradiol,0604011G0,364678,30784560
464,Sotalol Hydrochloride,0204000T0,475441,30778189
193,Flecainide Acetate,0203020I0,425182,30752508
511,Ursodeoxycholic Acid,0109010U0,304934,30592260
151,Dosulepin Hydrochloride,0403010J0,589453,30571490
410,Procyclidine Hydrochloride,0409020S0,872104,30321636
440,Ropinirole Hydrochloride,0409010H0,633426,30197872
264,Lorazepam,0401020P0,1050902,30195952
279,Memantine Hydrochloride,0411000G0,1321894,29913007
80,Carvedilol,020400080,584108,29567300
222,Hydrocortisone,0603020J0,430187,28665194
90,Cinnarizine,0406000D0,344956,28635809
7,Alendronic Acid,0606020A0,5910764,28354788
125,Dabigatran Etexilate,0208020X0,469969,28256504
33,Aripiprazole,0402010AD,1152730,27649035
498,Tranexamic Acid,0211000P0,423226,27507633
78,Carbimazole,0602020D0,573249,26425498
512,Valproic Acid,0402030Q0,571406,26181473
397,Pizotifen Malate,0407042Q0,523854,25314856
400,Pramipexole,0409010W0,463775,25233780
319,Nefopam Hydrochloride,0407010P0,270379,25143193
9,Alginic Acid Compound Preparations,0101021B0,308358,24025059
393,Pioglitazone Hydrochloride,0601023B0,755950,23733520
429,Ranolazine,0206030Z0,456401,23543399
330,Norethisterone,0604012P0,422836,23221759
238,Ivabradine,0206030Y0,491727,22777303
479,Temazepam,0401010T0,890908,22170531
168,Eplerenone,0202030X0,800820,21657790
212,Glimepiride,0601021A0,610153,21231966
241,Lacidipine,0206020K0,576379,20766181
17,Alverine Citrate,0102000A0,244404,20355107
159,Edoxaban,0208020AA,718221,19946669
149,Domperidone,0406000J0,327318,19516622
143,Dipyridamole,0209000L0,268577,19427046
295,Metoprolol Tartrate,0204000K0,405824,19222027
317,Nebivolol,0204000AB,574991,18778334
189,Fenofibrate,0212000P0,555896,18726892
194,Fludrocortisone Acetate,0603010I0,535450,17230072
514,Valsartan,0205052V0,394599,16534821
307,Moxonidine,0205020M0,384128,16454465
473,Sumatriptan Succinate,0407041T0,1661348,16275563
73,Canagliflozin,0601023AM,474217,15833175
53,Bezafibrate,0212000D0,413479,15304738
247,Levodopa/Carbidopa/Entacapone,0409010X0,159369,14873687
332,Oestrogens Conjugated,0604011P0,183640,14679297
337,Olmesartan Medoxomil,0205052B0,445123,14340962
25,Amisulpride,0402010A0,390228,14307601
526,Zolpidem Tartrate,0401010Y0,636536,14237334
119,Colesevelam Hydrochloride,0212000AD,102493,14111133
424,Rabeprazole Sodium,0103050T0,351651,13978182
96,Clomipramine Hydrochloride,0403010F0,230493,13912596
24,Amiodarone Hydrochloride,0203020D0,476421,13184111
0,Acamprosate Calcium,0410010A0,126239,12439049
65,Buprenorphine Hydrochloride,0410030A0,539496,12362902
476,Telmisartan,0205052Q0,328644,12121535
93,Clobazam,040801060,281779,12038351
328,Nitrazepam,0401010R0,424604,11517313
228,Imipramine Hydrochloride,0403010N0,151931,11492293
385,Phenobarbital,0408010N0,182376,11460560
176,Estradiol Valerate,0604011K0,131483,11171431
310,Naftidrofuryl Oxalate,0206040AE,125310,11156236
445,Sacubitril/Valsartan,0205052AE,199386,10898311
485,Tibolone,0604011Y0,189480,10730775
103,Co-Amilofruse (Amiloride HCl/Frusemide),0202040B0,324050,10701628
527,Zonisamide,0408010AD,161226,10697023
85,Chlorpromazine Hydrochloride,0402010D0,245616,10633108
286,Metformin Hydrochloride/Sitagliptin,0601023AD,158600,10369003
219,Haloperidol,0402010J0,257612,10345657
408,Primidone,0408010U0,153061,10153463
411,Progesterone,0604012S0,156580,9909955
220,Hydralazine Hydrochloride,0205010J0,177964,9856626
475,Tapentadol Hydrochloride,0407020AG,159139,9712634
259,Lofepramine Hydrochloride,0403010R0,171653,9544525
157,Dutasteride,0604020B0,296171,9278994
67,Buspirone Hydrochloride,0401020B0,178598,9158025
529,Zuclopenthixol Hydrochloride,0402010T0,81111,9066612
45,Balsalazide Sodium,0105010D0,46685,8962879
343,Ondansetron Hydrochloride,0406000S0,229087,8741822
299,Midodrine Hydrochloride,0207020Y0,112257,8716177
130,Desmopressin Acetate,0605020E0,147337,8574137
240,Labetalol Hydrochloride,0204000I0,108654,8400416
517,Varenicline Tartrate,0410020C0,307256,8272321
438,Rivastigmine,0411000E0,190993,8107164
242,Lacosamide,0408010AH,148292,8091389
131,Dexamethasone,0603020G0,199308,7926634
267,Losartan Potassium With Diuretic,0205052P0,197028,7726277
354,Oxcarbazepine,0408010D0,101156,7710040
276,Medroxyprogesterone Acetate,0604012M0,133919,7347403
341,Omega-3-Acid Ethyl Esters,0212000AB,106272,6936320
415,Propantheline Bromide,0102000Y0,64662,6762152
447,Saxagliptin,0601023AC,221694,6553997
505,Trihexyphenidyl Hydrochloride,0409020C0,109076,6488746
19,Amantadine Hydrochloride,0409010B0,129881,6446600
198,Flupentixol Hydrochloride,0403040F0,134870,6060505
115,Co-Tenidone (Atenolol/Chlortalidone),020400040,152562,5847221
22,Amiloride Hydrochloride,0202030C0,160937,5817222
471,Sulpiride,0402010U0,123519,5755710
430,Rasagiline Mesilate,0409010Y0,202343,5711286
281,Meptazinol Hydrochloride,0407020L0,68933,5558184
64,Buprenorphine,0407020B0,77042,5545492
290,Methyldopa,0205020H0,71441,5486559
304,Modafinil,0404000R0,82498,5372697
214,Glyceryl Trinitrate,0206010F0,51376,5199900
432,Repaglinide,0601023R0,55499,4877265
257,Lisinopril with Diuretic,0205051K0,113931,4556501
132,Dexamfetamine Sulfate,0404000L0,42479,4460027
76,Captopril,0205051F0,64382,4308884
13,Alogliptin/Metformin,0601023AJ,68648,4256987
255,Lisdexamfetamine Dimesylate,0404000U0,148436,4246466
167,Entacapone,0409010V0,47938,4225272
61,Budesonide,0105020A0,58448,4196630
104,Co-Amilozide (Amiloride HCl/Hydchloroth),0202040C0,106523,4034754
201,Fluvastatin Sodium,0212000M0,111646,3808559
288,Methadone Hydrochloride,0407020M0,30431,3760732
232,Irbesartan with Diuretic,0205052A0,95051,3699341
41,Atomoxetine Hydrochloride,0404000S0,116056,3679371
253,Linagliptin/Metformin,0601023AF,60272,3654229
418,Prucalopride,0106070A0,117429,3603406
235,Isosorbide Dinitrate,0206010I0,71381,3552255
98,Clonidine Hydrochloride,0205020E0,44333,3534320
208,Galantamine,0411000F0,163370,3524028
417,Propylthiouracil,0602020N0,39780,3438413
435,Risedronate Sodium,0606020R0,630475,3415874
353,Oxazepam,0401020T0,75679,3380900
404,Prazosin Hydrochloride,0205040S0,37261,3332627
525,Zolmitriptan,0407041Z0,308482,3323414
225,Hyoscine Hydrobromide,0406000L0,74500,3166795
373,Pericyazine,0402010P0,58717,3157310
164,Empagliflozin/Metformin,0601023AR,46033,2995962
497,Trandolapril,0205051U0,74100,2984223
287,Metformin Hydrochloride/Vildagliptin,0601023Z0,45642,2971507
254,Liothyronine Sodium,0602010M0,55295,2843949
136,Dicycloverine Hydrochloride,0102000J0,34487,2841060
522,Vortioxetine,0403040AB,121470,2838791
439,Rizatriptan,0407041R0,325778,2815955
182,Ethosuximide,0408010I0,24900,2793152
30,Analgesics with Anti-Emetics,0407041A0,87832,2777086
334,Oestrogens Conjugated with Progestogen,0604011Q0,29430,2749309
3,Acenocoumarol,0208020H0,22294,2669616
52,Betamethasone Sodium Phosphate,0603020C0,33686,2630362
480,Terazosin Hydrochloride,0205040V0,69470,2568761
521,Vildagliptin,0601023AA,49958,2498717
213,Glipizide,0601021P0,31577,2465569
357,Oxycodone HCl/Naloxone HCl,0407020AF,44476,2465345
461,Sodium Cromoglicate,0105040A0,13365,2464161
89,Cimetidine,0103010D0,41949,2459092
128,Dapagliflozin/Metformin,0601023AL,36122,2413117
1,Acarbose,0601023A0,30888,2412159
515,Valsartan with Diuretic,0205052X0,61942,2379772
36,Aspirin,0407010B0,65840,2316534
83,Chlordiazepoxide Hydrochloride,0401020E0,48970,2136922
114,Co-Proxamol (Dextroprop HCl/Paracet),0407010Q0,14677,2075368
376,Perindopril Arginine with Diuretic,0205051Z0,45528,2031480
285,Metformin Hydrochloride/Pioglitazone,0601023W0,30952,2012027
169,Eprosartan,0205052W0,54928,1985754
289,Methylcellulose,0106010H0,14493,1973301
402,Prasugrel,0209000Y0,62878,1895541
425,Raloxifene Hydrochloride,0604011X0,49689,1717404
414,Propafenone Hydrochloride,0203020R0,18862,1664433
507,Trimipramine Maleate,0403010Y0,30556,1584333
482,Tetrabenazine,0409030C0,29095,1568051
315,Naratriptan Hydrochloride,0407041M0,147056,1498594
340,Olsalazine Sodium,0105010C0,11788,1459675
155,Dronedarone Hydrochloride,0203020X0,22978,1420156
66,Bupropion Hydrochloride,0410020A0,24991,1411674
477,Telmisartan with Diuretic,0205052R0,36098,1409272
490,Tolbutamide,0601021X0,19900,1408453
215,Glycopyrronium Bromide,0102000L0,18631,1407854
81,Celiprolol Hydrochloride,020400060,34319,1389325
226,Ibandronic Acid,0606020W0,162120,1385157
371,Perampanel,0408010AK,48421,1341311
431,Reboxetine,0403040U0,24704,1310984
375,Perindopril Arginine,0205051Y0,32712,1309950
251,Linaclotide,0106070B0,39797,1308930
197,Flupentixol Hydrochloride,0402010H0,31698,1289699
59,Brivaracetam,0408010AL,23447,1272131
321,Nicardipine Hydrochloride,0206020Q0,16058,1250664
369,Pentoxifylline,0206040AG,20085,1248605
444,Rutosides,0206040AH,13068,1229557
145,Disopyramide,0203020F0,13473,1223569
88,Cilostazol,0206040X0,21820,1221195
248,Levomepromazine Maleate,0402010K0,34611,1217959
382,Pethidine Hydrochloride,0407020V0,15292,1171681
300,Minoxidil,0205010N0,21231,1165298
153,Doxepin,0403010L0,24224,1140810
202,Fluvoxamine Maleate,0403030L0,22505,1135125
451,Selegiline Hydrochloride,0409010T0,31508,1094673
513,Valproic Acid,040801020,20894,1034026
210,Glibenclamide,0601021H0,15358,1032112
383,Phenelzine Sulfate,0403020M0,12166,1016952
516,Valsartan/Amlodipine,0206020Z0,24120,993626
433,Riluzole,0409030R0,17353,988131
413,Promethazine Teoclate,0406000V0,32534,975198
412,Promazine Hydrochloride,0402010S0,20232,920076
303,Moclobemide,0403020K0,16834,888728
443,Rufinamide,0408010AF,9978,881090
329,Nizatidine,0103010N0,17867,839391
173,Eslicarbazepine Acetate,0408010AI,19963,823722
394,Piracetam,0409030P0,6409,807399
469,Sucralfate,0103030S0,9209,803369
488,Timolol,0204000V0,18300,796729
191,Fentanyl,0407020A0,15377,785416
91,Ciprofibrate,021200010,24766,782886
70,Cabergoline,0607010C0,69109,773198
6,Agomelatine,0403040Z0,19658,771730
147,Disulfiram,0410010B0,32955,765491
217,Guanfacine,0404000V0,22395,748066
74,Canagliflozin/Metformin,0601023AP,11393,702077
10,Aliskiren,0205053A0,19662,695919
60,Bromocriptine,0607010B0,12603,681458
456,Simeticone,0101010R0,10435,670813
177,Estradiol and Estriol with Progestogen,0604011J0,7012,664455
458,Simvastatin & Ezetimibe,0212000AC,18225,659916
338,Olmesartan Medoxomil/Amlodipine,0205052AB,17761,648039
40,Atenolol With Calcium Channel Blocker,0204000U0,13288,645351
449,Saxagliptin/Metformin,0601023AH,10819,642544
263,Loprazolam Mesilate,0401010N0,21071,639233
520,Vigabatrin,0408010X0,6179,637207
460,Sodium Clodronate,0606020T0,9993,628292
312,Naloxegol,0106060B0,25861,628114
166,Enalapril Maleate with Diuretic,0205051H0,14652,617166
339,Olmesartan Medoxomil/Hydrochlorothiazide,0205052Y0,16664,607073
316,Nateglinide,0601023U0,7196,602495
265,Lormetazepam,0401010P0,18596,599203
186,Famotidine,0103010H0,13720,582085
2,Acebutolol Hydrochloride,0204000C0,10006,579658
203,Fosinopril Sodium,0205051J0,12848,573825
204,Frovatriptan,0407041AB,56779,565278
94,Clomethiazole,0401010F0,12602,560087
495,Torasemide,0202020U0,15704,559086
223,Hydromorphone Hydrochloride,040702050,8334,552877
209,Gemfibrozil,0212000Q0,9009,552391
365,Paracetamol Combined Preparations,0407010X0,5132,517319
344,Opicapone,0409010AB,18559,505774
421,Quinapril Hydrochloride,0205051Q0,12135,493076
309,Nadolol,0204000M0,12534,467528
140,Dimenhydrinate/Cinnarizine,0406000AC,5737,456828
272,Magnesium Oxide,0101010I0,4065,455951
481,Testosterone Undecanoate,0604020T0,6454,449862
72,Calcium Carbonate,0101021C0,6269,435353
499,Tranylcypromine Sulfate,0403020Q0,6103,425501
129,Deflazacort,0603020I0,4883,413275
11,Almotriptan,0407041B0,43023,412688
146,Disopyramide Phosphate,0203020G0,6416,406795
269,Lurasidone,0402010AI,16734,401854
323,Nicotine,0410020B0,3071,398356
504,Trifluoperazine,0402010X0,6554,388553
16,Aluminium Hydroxide,0101010C0,4059,387596
313,Naltrexone Hydrochloride,0410030E0,17156,378516
250,Levothyroxine Sodium & Liothyronine,0602010Z0,3131,375715
86,Chlortalidone,0202010F0,13054,374304
427,Ramipril with Calcium Channel Blocker,0205051S0,7241,326839
302,Misoprostol,0103040M0,4772,325499
446,Safinamide,0409010AA,11264,316208
448,Saxagliptin/Dapagliflozin,0601023AV,9154,308413
227,Imidapril Hydrochloride,0205051W0,7856,275290
63,Buprenorph HCl/Naloxone HCl,0410030B0,12497,265967
336,Olmesartan Medox/Amlodipine/Hydchloroth,0205052AC,8252,263465
297,Mexiletine Hydrochloride,0203020P0,2391,257883
126,Danazol,0607020C0,4988,239415
21,Amiloride HCl With Loop Diuretics,0202040D0,6322,232804
294,Metolazone,0202010V0,18161,228565
48,Benperidol,0402010B0,4631,228132
420,Quinagolide Hydrochloride,0607010T0,4636,223328
121,Compound Alginates&Prop Indigestion Prep,010102100,3468,220581
262,Loperamide Hydrochloride & Simeticone,0104020P0,3538,187620
367,Pentazocine Hydrochloride,0407020T0,1622,184730
292,Methylprednisolone,0603020S0,5270,175759
388,Phenytoin,0408010Z0,2018,175703
160,Eletriptan,0407041AA,15122,175163
509,Tryptophan,0403040S0,1314,165217
273,Magnesium Trisilicate,0101010J0,1706,164172
142,Dipipanone Hydrochloride,0407020H0,2154,158416
306,Moxisylyte Hydorchloride,0206040AI,1347,154934
5,Acipimox,0212000A0,1831,152852
69,Cabergoline,0409010U0,5775,151820
181,Ethinylestradiol,0604011D0,2409,150248
102,Clozapine,0402010C0,2507,150016
484,Tiagabine,0408010AB,1842,149683
101,Cloral Betaine,0401010C0,4272,148816
502,Triamterene With Loop Diuretics,0202040U0,3822,146956
298,Mianserin Hydrochloride,0403010T0,2945,146791
296,Metyrapone,0607030M0,1270,137079
374,Perindopril + Calcium Channel Blocker,0205051AC,3334,135497
466,Spironolactone With Loop Diuretics,0202040T0,3898,130022
524,Xipamide,0202010Y0,3706,129699
390,Pimozide,0402010R0,3697,126750
391,Pindolol,0204000P0,1910,110118
113,Co-Phenotrope (Diphenox HCl/Atrop Sulph),0104020H0,1216,109869
233,Isocarboxazid,0403020H0,1742,107188
386,Phenoxybenzamine Hydrochloride,0205040M0,974,100728
455,Sildenafil(Vasodilator Antihypertensive),0205010Y0,1421,95331
95,Clomifene Citrate,0605010G0,3358,88827
492,Tolfenamic Acid,0407041U0,5822,86014
46,Beclometasone Dipropionate (Systemic),0105020G0,2941,84963
154,Doxylamine Succinate/Pyridoxine HCl,0406000AA,2224,80944
468,Stiripentol,0408010AG,883,80628
510,Ulipristal Acet,0604012U0,1948,74852
234,Isometheptene Mucate,0407010AC,2114,73836
422,Quinapril Hydrochloride with Diuretic,0205051P0,1497,70416
384,Phenindione,0208020N0,656,64413
195,Flunarizine Dihydroch,0406000E0,1309,62020
327,Nimodipine,0206020M0,605,57996
359,Paliperidone,0402010AE,2109,57413
268,Lubiprostone,0106070C0,1226,57278
368,Pentosan Polysulfate Sodium,0208020I0,586,55107
491,Tolcapone,0409010S0,587,54050
221,Hydrochlorothiazide,0202010L0,1377,51162
395,Pirenzepine,0103020P0,1264,47118
280,Meprobamate,0401020R0,772,46758
170,Ergotamine Tartrate,0407041F0,1208,44163
144,Dipyridamole & Aspirin,0209000V0,652,42676
135,Diazoxide,0601040E0,357,40876
34,Asenapine,0402030R0,961,38402
506,Trimetazidine Hydrochloride,0206020B0,584,35164
124,Cyproterone Acetate,0604020D0,754,34179
503,Triamterene With Thiazides,0202040V0,838,32549
112,Co-Flumactone (Hydroflumeth/Spironol),0202040G0,656,31421
108,Co-Codaprin (Codeine Phos/Aspirin),0407010M0,314,29546
271,Magnesium Carbonate,0101010F0,418,28463
18,Alverine Citrate/Simeticone,0102000AJ,316,27584
44,Azilsartan Medoxomil,0205052AD,608,27096
8,Alendronic Acid & Colecalciferol,0606020Y0,5419,26703
311,Nalmefene,0410010D0,1344,26306
38,Aspirin Combined Preparations,0407010W0,346,26300
28,Amobarbital Sodium,0401030E0,448,25769
472,Sultiame,0408010Y0,457,24927
333,Oestrogens Conjugated with Bazedoxifene,0604011AD,381,24198
68,Butobarbital,0401030H0,378,22776
308,Nabilone,0406000R0,482,22496
355,Oxitriptan,0403040R0,102,21170
171,Ertugliflozin,0601023AX,748,19772
381,Perphenazine,0402010Q0,322,19001
216,Granisetron Hydrochloride,0406000M0,584,18373
450,Secobarbital Sodium,0401030T0,375,17677
363,Paracetamol & Caffeine,0407010U0,188,16540
133,Diamorphine Hydrochloride (Systemic),0407020K0,225,16294
401,Prasterone,0604030Q0,227,16108
43,Atropine Sulfate,0102000AC,313,16028
364,Paracetamol & Ibuprofen,0407010AD,210,15882
423,Quinidine Sulfate,0203020U0,100,15077
483,Thioridazine,0402010W0,193,14946
84,Chlorothiazide,0202010D0,123,13672
318,Nefazodone Hydrochloride,0403040T0,97,10382
346,Orphenadrine Hydrochloride,0409020N0,176,9245
87,Cilazapril,0205051E0,254,9156
489,Timolol With Diuretic,020400030,192,8853
396,Pitolisant Hydrochloride,0404000W0,191,8299
187,Felbamate,0408010AA,43,7892
71,Caffeine,0404000D0,62,7544
122,Cortisone Acetate,0603020F0,91,6933
49,Benzatropine Mesilate,0409020E0,248,6611
406,Prednisone,0603020X0,159,6180
110,Co-Danthrusate (Dantron/Docusate Sod),0106020J0,100,5611
351,Other Test For Helicobacter Pylori Preps,010300000,5271,5284
314,Naltrexone/Bupropion,0405020U0,40,5192
161,Eluxadoline,0102000AK,79,4840
163,Empagliflozin/Linagliptin,0601023AY,159,4469
350,Other Stimulant Laxative Preps,010602000,108,4396
117,Co-Zidocapt (Hydchloroth/Captopril),0205051G0,90,4255
349,Other Preparations For Biliary Disorders,0109010R0,54,4102
283,Mesterolone,0604020F0,47,3904
199,Fluphenazine Hydrochloride,0402010I0,78,3794
4,Acetyl-L-Carnitine,0206040AL,21,3674
120,Colestipol Hydrochloride,0212000K0,17,3545
356,Oxprenolol Hydrochloride,0204000N0,50,3418
230,Indoramin,0205040I0,71,3265
58,Bosentan,0205010U0,70,3249
352,Oxandrolone,0604030P0,48,2988
325,Nicotinic Acid Derivatives,0206040AF,20,2797
237,Isradipine,0206020I0,37,2548
37,Aspirin & Caffeine,0407010AA,35,2415
79,Cariprazine,0402010AJ,92,2400
347,Other Bisphosphonate & Other Preps,060602000,376,2217
23,Amiloride Hydrochloride With Thiazides,0202040A0,73,1960
493,Tolvaptan,0605020Y0,144,1652
508,Tripotassium Dicitratobismuthate,0103030W0,18,1600
501,Triamterene,0202030W0,30,1481
116,Co-Triamterzide(Triamterene/Hydchloroth),0202040H0,38,1470
398,Policosanol,0212000AG,12,1400
348,Other Pancreatin Preps,010904000,6,1200
32,Aprepitant,0406000AD,93,1080
158,Dydrogesterone,0604012F0,19,1030
372,Pergolide Mesilate,0409010P0,14,992
184,Etilefrine Hydrochloride,0207010G0,16,970
180,Etamsylate,0211000D0,12,968
324,Nicotinic Acid,0212000U0,5,820
179,"Estradiol, Estriol and Estrone",0604011H0,18,812
190,Fenofibrate/Simvastatin,0212000AJ,22,776
29,Amoxapine,0403010C0,5,732
487,Ticlopidine Hydrochloride,0209000U0,13,728
278,Melperone Hydrochloride,0402010AF,6,709
82,Chenodeoxycholic Acid,0109010G0,9,704
14,Alprazolam,0401020A0,12,568
380,Perindopril Tosilate/Indapamide,0205051AB,14,566
15,Aluminium & Magnesium & Act Simeticone,0101010L0,4,540
109,Co-Danthramer (Dantron/Poloxamer 188),0106020B0,17,531
378,Perindopril Erbumine with Diuretic,0205051N0,9,458
387,Phenprocoumon,0208020S0,2,400
20,Ambrisentan,0205010X0,24,379
57,Bisoprolol Fumarate/Aspirin,0204000AC,14,368
183,Etidronate Disodium,0606020C0,6,330
274,Maprotiline Hydrochloride,0403010S0,2,300
474,Tadalafil (Vasodilator Antihypertensive),0205010Z0,12,280
260,Lofexidine Hydrochloride,0410030D0,4,269
434,Riociguat,0205010AB,3,252
51,Betamethasone,0603020B0,3,198
141,Diosmin/Hesperidin,0206040AT,2,190
270,Macitentan,0205010AA,7,183
54,Biperiden Hydrochloride,0409020G0,27,173
206,Furosemide/Potassium,0202080K0,8,168
478,Telotristat Ethyl,0104040A0,2,168
441,Rosiglitazone,0601023S0,2,84
218,Guanfacine Hydrochloride,0205020G0,2,58
454,Sibutramine,0405020S0,1,56
467,Spironolactone With Thiazides,0202040S0,2,56
462,Sodium Picosulfate,0106020P0,1,50
392,Pindolol With Diuretic,020400010,2,49
200,Flurazepam Hydrochloride,0401010L0,1,30
239,Kaolin Light,0104010H0,1,24
379,Perindopril Tosilate,0205051AA,1,14
399,Potassium Iodate,0602020H0,1,4
320,Netupitant/Palonosetron Hcl,0406000AG,2,4
